"CITY","Date","Log.Trips","time_since_treatment","month","season","Total_Injuries","treatment"
"EVERETT",2013-11-01,0,0,11,1,21,0
"EVERETT",2013-12-01,0,0,12,1,8,0
"EVERETT",2014-01-01,0,0,1,1,10,0
"EVERETT",2014-02-01,0,0,2,1,11,0
"EVERETT",2014-03-01,0,0,3,1,15,0
"EVERETT",2014-04-01,0,0,4,2,30,0
"EVERETT",2014-05-01,0,0,5,2,20,0
"EVERETT",2014-06-01,0,0,6,3,21,0
"EVERETT",2014-07-01,0,0,7,3,9,0
"EVERETT",2014-08-01,0,0,8,3,26,0
"EVERETT",2014-09-01,0,0,9,4,19,0
"EVERETT",2014-10-01,0,0,10,4,23,0
"EVERETT",2014-11-01,0,0,11,1,20,0
"EVERETT",2014-12-01,0,0,12,1,21,0
"NEWTON",2010-01-01,0,0,1,1,44,0
"NEWTON",2010-02-01,0,0,2,1,37,0
"NEWTON",2010-03-01,0,0,3,1,45,0
"NEWTON",2010-04-01,0,0,4,2,51,0
"NEWTON",2010-05-01,0,0,5,2,61,0
"NEWTON",2010-06-01,0,0,6,3,42,0
"NEWTON",2010-07-01,0,0,7,3,21,0
"NEWTON",2010-08-01,0,0,8,3,9,0
"NEWTON",2010-09-01,0,0,9,4,29,0
"NEWTON",2010-10-01,0,0,10,4,56,0
"NEWTON",2010-11-01,0,0,11,1,66,0
"NEWTON",2010-12-01,0,0,12,1,44,0
"NEWTON",2011-01-01,0,0,1,1,35,0
"NEWTON",2011-02-01,0,0,2,1,41,0
"NEWTON",2011-03-01,0,0,3,1,42,0
"NEWTON",2011-04-01,0,0,4,2,42,0
"NEWTON",2011-05-01,0,0,5,2,47,0
"NEWTON",2011-06-01,0,0,6,3,38,0
"NEWTON",2011-07-01,0,0,7,3,43,0
"NEWTON",2011-08-01,0,0,8,3,46,0
"NEWTON",2011-09-01,0,0,9,4,50,0
"NEWTON",2011-10-01,0,0,10,4,40,0
"NEWTON",2013-01-01,0,0,1,1,43,0
"NEWTON",2013-02-01,0,0,2,1,22,0
"NEWTON",2013-03-01,0,0,3,1,30,0
"NEWTON",2013-04-01,0,0,4,2,64,0
"NEWTON",2013-05-01,0,0,5,2,40,0
"NEWTON",2013-06-01,0,0,6,3,56,0
"NEWTON",2013-07-01,0,0,7,3,40,0
"NEWTON",2013-08-01,0,0,8,3,45,0
"NEWTON",2013-09-01,0,0,9,4,53,0
"NEWTON",2013-10-01,0,0,10,4,56,0
"NEWTON",2013-11-01,0,0,11,1,43,0
"NEWTON",2013-12-01,0,0,12,1,52,0
"NEWTON",2014-01-01,0,0,1,1,43,0
"NEWTON",2014-02-01,0,0,2,1,38,0
"NEWTON",2014-03-01,0,0,3,1,27,0
"NEWTON",2014-04-01,0,0,4,2,40,0
"NEWTON",2014-05-01,0,0,5,2,50,0
"NEWTON",2014-06-01,0,0,6,3,45,0
"NEWTON",2014-07-01,0,0,7,3,47,0
